央视频道,#genre#
CCTV1,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8?E&U&A&K&P&S
CCTV2,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8?E&U&A&K&P&S
CCTV3,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8?E&U&A&K&P&S
CCTV4,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-4H265_4000.m3u8?E&U&A&K&P&S
CCTV5,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5H265_4000.m3u8?E&U&A&K&P&S
CCTV5+,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5plusH265_4000.m3u8?E&U&A&K&P&S
CCTV6,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-6H265_4000.m3u8?E&U&A&K&P&S
CCTV7,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-7H265_4000.m3u8?E&U&A&K&P&S
CCTV8,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-8H265_4000.m3u8?E&U&A&K&P&S
CCTV9,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-9H265_4000.m3u8?E&U&A&K&P&S
CCTV10,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-10H265_4000.m3u8?E&U&A&K&P&S
CCTV11,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-11-H265_4000.m3u8?E&U&A&K&P&S
CCTV12,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-12H265_4000.m3u8?E&U&A&K&P&S
CCTV13,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-xw_4000.m3u8?E&U&A&K&P&S
CCTV14,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-14H265_4000.m3u8?E&U&A&K&P&S
CCTV15,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-15-yyH265_4000.m3u8?E&U&A&K&P&S
CCTV16,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16_4000.m3u8?E&U&A&K&P&S
CCTV16-4k,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16-4K_8000.m3u8?E&U&A&K&P&S
CCTV17,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-17_4000.m3u8?E&U&A&K&P&S
CCTV4K,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ys4Kcq_2000.m3u8?E&U&A&K&P&S
中央新影-老故事,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lgs_2000.m3u8?E&U&A&K&P&S
中央新影-中学生,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/zxs_4000.m3u8?E&U&A&K&P&S
中央新影-发现之旅,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/fxzl_2000.m3u8?E&U&A&K&P&S
CGTN,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CGTN_4000.m3u8?E&U&A&K&P&S
CGTN西语,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xbyy_2000.m3u8?E&U&A&K&P&S
CGTN法语,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/fy_2000.m3u8?E&U&A&K&P&S
CGTN俄语,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ey_2000.m3u8?E&U&A&K&P&S
央广购物,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/yggw_2000.m3u8?E&U&A&K&P&S
书画频道,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/sh_4000.m3u8?E&U&A&K&P&S
中国天气,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/zgqx_4000.m3u8?E&U&A&K&P&S
CETV1,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-1H264_4000.m3u8?E&U&A&K&P&S
CETV2,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-2_4000.m3u8?E&U&A&K&P&S
CETV4,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-4H264_2000.m3u8?E&U&A&K&P&S

卫视频道,#genre#
北京卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/bjwsH265_4000.m3u8?E&U&A&K&P&S
东方卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dfwsH265_4000.m3u8?E&U&A&K&P&S
天津卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/tjwsH265_4000.m3u8?E&U&A&K&P&S
重庆卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cqwsH265_4000.m3u8?E&U&A&K&P&S
黑龙江卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hljwsH265_4000.m3u8?E&U&A&K&P&S
吉林卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jlwsH265_4000.m3u8?E&U&A&K&P&S
辽宁卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsHDH264_4000.m3u8?E&U&A&K&P&S
内蒙古卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/nmgws_4000.m3u8?E&U&A&K&P&S
甘肃卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gsws_4000.m3u8?E&U&A&K&P&S
青海卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/qhwsH264_2000.m3u8?E&U&A&K&P&S
陕西卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/sxws_4000.m3u8?E&U&A&K&P&S
山西卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/sxws42_4000.m3u8?E&U&A&K&P&S
山东卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/sdwsH265_4000.m3u8?E&U&A&K&P&S
安徽卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ahwsH265_4000.m3u8?E&U&A&K&P&S
河南卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnws35_4000.m3u8?E&U&A&K&P&S
湖北卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hbwsH265_4000.m3u8?E&U&A&K&P&S
湖南卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnwsH265_4000.m3u8?E&U&A&K&P&S
江西卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jxwsH265_4000.m3u8?E&U&A&K&P&S
江苏卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jswsH265_4000.m3u8?E&U&A&K&P&S
浙江卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/zjwsH265_4000.m3u8?E&U&A&K&P&S
东南卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dnwsfjwsH265_4000.m3u8?E&U&A&K&P&S
广东卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gdwsH265_4000.m3u8?E&U&A&K&P&S
深圳卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/szwsH265_4000.m3u8?E&U&A&K&P&S
广西卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gxws_4000.m3u8?E&U&A&K&P&S
云南卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/ynws_4000.m3u8?E&U&A&K&P&S
贵州卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/gzwsH265_4000.m3u8?E&U&A&K&P&S
四川卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/scwsH265_4000.m3u8?E&U&A&K&P&S
康巴卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/kbwsH264_2000.m3u8?E&U&A&K&P&S
新疆卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjws_4000.m3u8?E&U&A&K&P&S
兵团卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/btws_4000.m3u8?E&U&A&K&P&S
西藏卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xzwsH264_2000.m3u8?E&U&A&K&P&S
海南卫视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnws_4000.m3u8?E&U&A&K&P&S

CHC电影频道,#genre#
CHC影迷电影,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsCHC-HDH265_4000.m3u8?E&U&A&K&P&S
CHC动作电影,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/wqCHCdzdyH265_4000.m3u8?E&U&A&K&P&S
CHC家庭影院,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jbtygqCHCjtyyH265_4000.m3u8?E&U&A&K&P&S

数字频道,#genre#
北京纪实科教,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/bjjs_2000.m3u8?E&U&A&K&P&S
四海钓鱼,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/shdy_4000.m3u8?E&U&A&K&P&S
车迷,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cmpdH264_2000.m3u8?E&U&A&K&P&S
卡酷少儿,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/kkkt_4000.m3u8?E&U&A&K&P&S
证劵服务,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jz_2000.m3u8?E&U&A&K&P&S
聚鲨环球精选,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/hqgw_4000.m3u8?E&U&A&K&P&S
东方财经,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dfcj_4000.m3u8?E&U&A&K&P&S
动漫秀场,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/yybb-dmxc-H265_4000.m3u8?E&U&A&K&P&S
都市剧场,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/yxfydsjcHDH265_4000.m3u8?E&U&A&K&P&S
